date,usdkrw,미국수출금액,미국수입금액,외환보유액,미국외환보유액,한국은행기준금리,정부대출금금리,시장금리,소비자물가지수,수출물가지수,수입물가지수,경제성장률,미국경제성장률,gdp,us_gdp,주가지수,미국주가지수,한국금리,미국금리
2020-01-01,,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-02,1157.8,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.3,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-03,1156.9,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.27,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-04,1156.9,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.27,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-05,1156.9,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.27,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-06,1162.7,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.29,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-07,1169.6,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.27,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-08,1165.3,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.25,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-09,1174.1,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.28,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-10,1160.0,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.28,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-11,1160.0,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.28,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-12,1160.0,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.28,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-13,1161.1,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.29,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-14,1155.7,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.27,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
2020-01-15,1153.1,5740347.0,5577076.0,409653.0,129159.53,1.25,1.432,1.27,100.09,102.12,108.1,-0.7,-2.163,1744070.2,21354105.0,109.7,130.9,1.66,1.76
