date,usdkrw(target),us_ex,us_im,reserve,us_reserve,us_export,us_import,base,market,consumer,exp_rate,im_rate,us_gdp,us_stock
2023-01-01,1267.3,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.25,3.38,110.07,115.29,129.61,27720709.0,147.0
2023-01-02,1267.3,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.25,3.291,110.07,115.29,129.61,27720709.0,147.0
2023-01-03,1268.9,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.25,3.119,110.07,115.29,129.61,27720709.0,147.0
2023-01-04,1272.1,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.25,3.032,110.07,115.29,129.61,27720709.0,147.0
2023-01-05,1274.7,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.25,3.075,110.07,115.29,129.61,27720709.0,147.0
2023-01-06,1270.3,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.25,3.118,110.07,115.29,129.61,27720709.0,147.0
2023-01-07,1270.3,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.25,3.118,110.07,115.29,129.61,27720709.0,147.0
2023-01-08,1270.3,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.25,3.118,110.07,115.29,129.61,27720709.0,147.0
2023-01-09,1267.2,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.25,3.132,110.07,115.29,129.61,27720709.0,147.0
2023-01-10,1246.8,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.25,3.166,110.07,115.29,129.61,27720709.0,147.0
2023-01-11,1240.8,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.25,3.232,110.07,115.29,129.61,27720709.0,147.0
2023-01-12,1245.3,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.25,3.299,110.07,115.29,129.61,27720709.0,147.0
2023-01-13,1244.6,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.427,110.07,115.29,129.61,27720709.0,147.0
2023-01-14,1244.6,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.427,110.07,115.29,129.61,27720709.0,147.0
2023-01-15,1244.6,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.427,110.07,115.29,129.61,27720709.0,147.0
2023-01-16,1240.6,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.394,110.07,115.29,129.61,27720709.0,147.0
2023-01-17,1234.0,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.369,110.07,115.29,129.61,27720709.0,147.0
2023-01-18,1238.5,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.365,110.07,115.29,129.61,27720709.0,147.0
2023-01-19,1239.8,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.387,110.07,115.29,129.61,27720709.0,147.0
2023-01-20,1236.0,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.48,110.07,115.29,129.61,27720709.0,147.0
2023-01-21,1236.0,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.48,110.07,115.29,129.61,27720709.0,147.0
2023-01-22,1236.0,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.48,110.07,115.29,129.61,27720709.0,147.0
2023-01-23,1236.0,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.48,110.07,115.29,129.61,27720709.0,147.0
2023-01-24,1236.0,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.48,110.07,115.29,129.61,27720709.0,147.0
2023-01-25,1234.4,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.435,110.07,115.29,129.61,27720709.0,147.0
2023-01-26,1233.4,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.463,110.07,115.29,129.61,27720709.0,147.0
2023-01-27,1231.4,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.357,110.07,115.29,129.61,27720709.0,147.0
2023-01-28,1231.4,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.357,110.07,115.29,129.61,27720709.0,147.0
2023-01-29,1231.4,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.357,110.07,115.29,129.61,27720709.0,147.0
2023-01-30,1230.2,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.371,110.07,115.29,129.61,27720709.0,147.0
2023-01-31,1228.7,8058604.0,6995423.0,4794759.0,246490.63,164603.0,263533.0,3.5,3.343,110.07,115.29,129.61,27720709.0,147.0
2023-02-01,1230.8,8991831.0,6011957.0,4794759.0,241870.94,158770.0,237468.0,3.5,3.37,110.33,121.58,137.95,27720709.0,148.2
2023-02-02,1231.4,8991831.0,6011957.0,4794759.0,241870.94,158770.0,237468.0,3.5,3.27,110.33,121.58,137.95,27720709.0,148.2
2023-02-03,1219.3,8991831.0,6011957.0,4794759.0,241870.94,158770.0,237468.0,3.5,3.488,110.33,121.58,137.95,27720709.0,148.2
2023-02-04,1219.3,8991831.0,6011957.0,4794759.0,241870.94,158770.0,237468.0,3.5,3.488,110.33,121.58,137.95,27720709.0,148.2
