date,usdkrw(target),us_ex,us_im,reserve,us_reserve,us_export,us_import,base,market,consumer,exp_rate,im_rate,us_gdp,us_stock
2025-01-01,1470.0,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.327,115.71,109.59,117.52,29203500.0,183.0
2025-01-02,1470.0,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.029,115.71,109.59,117.52,29203500.0,183.0
2025-01-03,1468.3,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,2.967,115.71,109.59,117.52,29203500.0,183.0
2025-01-04,1468.3,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,2.967,115.71,109.59,117.52,29203500.0,183.0
2025-01-05,1468.3,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,2.967,115.71,109.59,117.52,29203500.0,183.0
2025-01-06,1466.8,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.032,115.71,109.59,117.52,29203500.0,183.0
2025-01-07,1470.8,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.0,115.71,109.59,117.52,29203500.0,183.0
2025-01-08,1455.4,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.003,115.71,109.59,117.52,29203500.0,183.0
2025-01-09,1453.2,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.079,115.71,109.59,117.52,29203500.0,183.0
2025-01-10,1458.2,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.081,115.71,109.59,117.52,29203500.0,183.0
2025-01-11,1458.2,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.081,115.71,109.59,117.52,29203500.0,183.0
2025-01-12,1458.2,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.081,115.71,109.59,117.52,29203500.0,183.0
2025-01-13,1460.7,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.064,115.71,109.59,117.52,29203500.0,183.0
2025-01-14,1471.3,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,2.99,115.71,109.59,117.52,29203500.0,183.0
2025-01-15,1463.3,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.008,115.71,109.59,117.52,29203500.0,183.0
2025-01-16,1460.2,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.071,115.71,109.59,117.52,29203500.0,183.0
2025-01-17,1454.7,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.069,115.71,109.59,117.52,29203500.0,183.0
2025-01-18,1454.7,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.069,115.71,109.59,117.52,29203500.0,183.0
2025-01-19,1454.7,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.069,115.71,109.59,117.52,29203500.0,183.0
2025-01-20,1455.8,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.109,115.71,109.59,117.52,29203500.0,183.0
2025-01-21,1453.0,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.138,115.71,109.59,117.52,29203500.0,183.0
2025-01-22,1437.9,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.106,115.71,109.59,117.52,29203500.0,183.0
2025-01-23,1434.3,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.088,115.71,109.59,117.52,29203500.0,183.0
2025-01-24,1437.1,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.091,115.71,109.59,117.52,29203500.0,183.0
2025-01-25,1437.1,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.091,115.71,109.59,117.52,29203500.0,183.0
2025-01-26,1437.1,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.091,115.71,109.59,117.52,29203500.0,183.0
2025-01-27,1437.1,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.091,115.71,109.59,117.52,29203500.0,183.0
2025-01-28,1437.1,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.091,115.71,109.59,117.52,29203500.0,183.0
2025-01-29,1437.1,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.091,115.71,109.59,117.52,29203500.0,183.0
2025-01-30,1437.1,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.091,115.71,109.59,117.52,29203500.0,183.0
2025-01-31,1433.3,9282755.0,5836250.0,4794759.0,242257.29,164862.0,325215.0,3.0,3.074,115.71,109.59,117.52,29203500.0,183.0
