date,usdkrw(target),us_ex,us_im,reserve,us_reserve,us_export,us_import,base,market,consumer,exp_rate,im_rate,us_current,us_growth,us_gdp,us_stock,us_interest
2020-01-01,,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-02,1157.8,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.3,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-03,1156.9,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.27,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-04,1156.9,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.27,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-05,1156.9,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.27,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-06,1162.7,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.29,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-07,1169.6,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.27,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-08,1165.3,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.25,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-09,1174.1,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-10,1160.0,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-11,1160.0,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-12,1160.0,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-13,1161.1,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.29,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-14,1155.7,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.27,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-15,1153.1,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.27,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-16,1158.8,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.27,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-17,1159.6,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-18,1159.6,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-19,1159.6,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-20,1158.8,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-21,1158.8,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.29,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-22,1164.7,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-23,1165.1,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-24,1165.1,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-25,1165.1,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-26,1165.1,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-27,1165.1,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.28,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-28,1167.2,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.26,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-29,1176.7,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.25,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-30,1176.0,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.24,100.09,102.12,108.1,,,21354105.0,130.9,
2020-01-31,1183.5,5740347.0,5577076.0,4794758.0,129159.53,128767.0,201862.0,1.25,1.25,100.09,102.12,108.1,,,21354105.0,130.9,
2020-02-01,1183.5,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.25,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-02,1183.5,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.25,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-03,1187.8,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.22,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-04,1196.0,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.22,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-05,1189.4,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.23,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-06,1188.5,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.23,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-07,1181.4,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.22,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-08,1181.4,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.22,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-09,1181.4,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.22,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-10,1187.2,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.24,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-11,1189.8,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.26,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-12,1184.1,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.26,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-13,1179.8,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.26,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-14,1181.5,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.24,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-15,1181.5,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.24,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-16,1181.5,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.24,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-17,1183.5,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.24,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-18,1182.2,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.23,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-19,1188.1,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.24,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-20,1190.8,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.23,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-21,1197.0,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.23,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-22,1197.0,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.23,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-23,1197.0,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.23,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-24,1205.6,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.24,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-25,1217.7,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.25,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-26,1212.7,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.25,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-27,1216.8,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.23,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-28,1215.9,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.26,100.16,103.05,106.55,,,21354105.0,128.7,
2020-02-29,1215.9,5931572.0,5435012.0,4794758.0,128870.22,130553.0,183512.0,1.25,1.26,100.16,103.05,106.55,,,21354105.0,128.7,
2020-03-01,1215.9,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.26,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-02,1215.3,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.26,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-03,1200.3,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.26,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-04,1191.4,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.25,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-05,1186.4,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.25,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-06,1185.0,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.24,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-07,1185.0,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.24,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-08,1185.0,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.24,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-09,1191.4,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.26,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-10,1201.4,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.25,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-11,1196.7,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.24,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-12,1192.8,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.25,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-13,1202.0,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.25,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-14,1202.0,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.25,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-15,1202.0,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.25,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-16,1222.2,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,1.25,1.27,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-17,1219.6,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.76,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-18,1241.2,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.73,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-19,1237.8,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.72,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-20,1280.1,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.73,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-21,1280.1,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.73,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-22,1280.1,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.73,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-23,1254.1,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.73,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-24,1274.6,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.72,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-25,1256.0,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.73,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-26,1230.7,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.73,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-27,1227.9,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.75,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-28,1227.9,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.75,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-29,1227.9,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.75,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-30,1212.4,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.76,99.94,101.41,100.85,,,21354105.0,100.5,
2020-03-31,1222.6,7281215.0,5371871.0,4794758.0,128376.66,132921.0,199853.0,0.75,0.8,99.94,101.41,100.85,,,21354105.0,100.5,
2020-04-01,1220.0,5277226.0,5041816.0,4794758.0,127394.0,94471.0,170940.0,0.75,0.76,99.5,99.22,95.15,,,21354105.0,101.8,
2020-04-02,1222.2,5277226.0,5041816.0,4794758.0,127394.0,94471.0,170940.0,0.75,0.74,99.5,99.22,95.15,,,21354105.0,101.8,
2020-04-03,1237.6,5277226.0,5041816.0,4794758.0,127394.0,94471.0,170940.0,0.75,0.73,99.5,99.22,95.15,,,21354105.0,101.8,
2020-04-04,1237.6,5277226.0,5041816.0,4794758.0,127394.0,94471.0,170940.0,0.75,0.73,99.5,99.22,95.15,,,21354105.0,101.8,
2020-04-05,1237.6,5277226.0,5041816.0,4794758.0,127394.0,94471.0,170940.0,0.75,0.73,99.5,99.22,95.15,,,21354105.0,101.8,
2020-04-06,1229.8,5277226.0,5041816.0,4794758.0,127394.0,94471.0,170940.0,0.75,0.75,99.5,99.22,95.15,,,21354105.0,101.8,
2020-04-07,1233.4,5277226.0,5041816.0,4794758.0,127394.0,94471.0,170940.0,0.75,0.74,99.5,99.22,95.15,,,21354105.0,101.8,
