STAT_CODE,STAT_NAME,GRP_CODE,GRP_NAME,ITEM_CODE,ITEM_NAME,P_ITEM_CODE,P_ITEM_NAME,CYCLE,START_TIME,END_TIME,DATA_CNT,UNIT_NAME,WEIGHT
102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",Group1,계정항목,ABA1,"본원통화(평잔,계절조정계열)",,,A,2002,2024,23,십억원,
102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",Group1,계정항목,ABA1,"본원통화(평잔,계절조정계열)",,,M,200112,202506,283,십억원,
102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",Group1,계정항목,ABA104,현금통화,ABA1,"본원통화(평잔,계절조정계열)",A,2002,2024,23,십억원,
102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",Group1,계정항목,ABA104,현금통화,ABA1,"본원통화(평잔,계절조정계열)",M,200112,202506,283,십억원,
102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",Group1,계정항목,ABA103,중앙은행 대 예금취급기관부채,ABA1,"본원통화(평잔,계절조정계열)",A,2002,2024,23,십억원,
102Y004,"1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)",Group1,계정항목,ABA103,중앙은행 대 예금취급기관부채,ABA1,"본원통화(평잔,계절조정계열)",M,200112,202506,283,십억원,
102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA1,"본원통화(평잔, 원계열)",,,A,1971,2024,54,십억원,
102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA1,"본원통화(평잔, 원계열)",,,M,197101,202506,654,십억원,
102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA1,"본원통화(평잔, 원계열)",,,Q,1971Q1,2025Q2,218,십억원,
102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA103,현금통화,ABA1,"본원통화(평잔, 원계열)",A,2002,2024,23,십억원,
102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA103,현금통화,ABA1,"본원통화(평잔, 원계열)",M,200201,202506,282,십억원,
102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA103,현금통화,ABA1,"본원통화(평잔, 원계열)",Q,2002Q1,2025Q2,94,십억원,
102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA104,중앙은행 대 예금취급기관부채,ABA1,"본원통화(평잔, 원계열)",A,2002,2024,23,십억원,
102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA104,중앙은행 대 예금취급기관부채,ABA1,"본원통화(평잔, 원계열)",M,200201,202506,282,십억원,
102Y002,"1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)",Group1,계정항목,ABA104,중앙은행 대 예금취급기관부채,ABA1,"본원통화(평잔, 원계열)",Q,2002Q1,2025Q2,94,십억원,
102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",Group1,계정항목,ABA2,"본원통화(말잔,계절조정계열)",,,A,2002,2024,23,십억원,
102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",Group1,계정항목,ABA2,"본원통화(말잔,계절조정계열)",,,M,200112,202506,283,십억원,
102Y003,"1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)",Group1,계정항목,ABA203,중앙은행 대 예금취급기관부채,ABA2,"본원통화(말잔,계절조정계열)",A,2002,2024,23,십억원,
