date,usdkrw(target),reserve,base,market,consumer,exp_rate,im_rate
2025-07-01,1353.6,4794932,2.5,2.499,116.52,128.19,134.87
2025-07-02,1352.6,4794932,2.5,2.484,116.52,128.19,134.87
2025-07-03,1359.4,4794932,2.5,2.496,116.52,128.19,134.87
2025-07-04,1358.1,4794932,2.5,2.496,116.52,128.19,134.87
2025-07-05,1358.1,4794932,2.5,2.496,116.52,128.19,134.87
2025-07-06,1358.1,4794932,2.5,2.496,116.52,128.19,134.87
2025-07-07,1364.2,4794932,2.5,2.5,116.52,128.19,134.87
2025-07-08,1366.6,4794932,2.5,2.408,116.52,128.19,134.87
2025-07-09,1368,4794932,2.5,2.447,116.52,128.19,134.87
2025-07-10,1373.8,4794932,2.5,2.529,116.52,128.19,134.87
2025-07-11,1373,4794932,2.5,2.509,116.52,128.19,134.87
2025-07-12,1373,4794932,2.5,2.509,116.52,128.19,134.87
2025-07-13,1373,4794932,2.5,2.509,116.52,128.19,134.87
2025-07-14,1374.7,4794932,2.5,2.51,116.52,128.19,134.87
2025-07-15,1378.5,4794932,2.5,2.478,116.52,128.19,134.87
2025-07-16,1382.7,4794932,2.5,2.502,116.52,128.19,134.87
2025-07-17,1387.1,4794932,2.5,2.5,116.52,128.19,134.87
2025-07-18,1390.8,4794932,2.5,2.51,116.52,128.19,134.87
2025-07-19,1390.8,4794932,2.5,2.51,116.52,128.19,134.87
2025-07-20,1390.8,4794932,2.5,2.51,116.52,128.19,134.87
2025-07-21,1391.9,4794932,2.5,2.491,116.52,128.19,134.87
2025-07-22,1391.1,4794932,2.5,2.504,116.52,128.19,134.87
2025-07-23,1386.3,4794932,2.5,2.502,116.52,128.19,134.87
2025-07-24,1379.1,4794932,2.5,2.508,116.52,128.19,134.87
2025-07-25,1368.7,4794932,2.5,2.515,116.52,128.19,134.87
2025-07-26,1368.7,4794932,2.5,2.515,116.52,128.19,134.87
2025-07-27,1368.7,4794932,2.5,2.515,116.52,128.19,134.87
2025-07-28,1376,4794932,2.5,2.506,116.52,128.19,134.87
2025-07-29,1379.6,4794932,2.5,2.5,116.52,128.19,134.87
2025-07-30,1391.4,4794932,2.5,2.518,116.52,128.19,134.87
2025-07-31,1382.9,4794932,2.5,2.514,116.52,128.19,134.87
